S.No,Set,Full Name,Country,Age,Role,Batting Hand,Bowling Style,Capped/Uncapped,Base-Price
274,USP3,Roshan Waghsare,India,21,BOWLER,RHB,LEFT ARM Slow Unorthodox,Uncapped,30
275,USP3,Bailapudi Yeswanth,India,20,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,30
276,BA4,Sediqullah Atal,Afghanistan,23,BATTER,LHB,,Capped,75
277,BA4,Matthew Breetzke,South Africa,26,BATTER,RHB,,Capped,75
278,BA4,Mark Chapman,New Zealand,30,BATTER,LHB,LEFT ARM Slow Orthodox,Capped,150
279,BA4,Brandon King,West Indies,30,BATTER,RHB,RIGHT ARM Off Spin,Capped,75
280,BA4,Evin Lewis,West Indies,33,BATTER,LHB,,Capped,200
281,BA4,Pathum Nissanka,Sri Lanka,26,BATTER,RHB,RIGHT ARM Off Spin,Capped,75
282,BA4,Bhanuka Rajapaksa,Sri Lanka,33,BATTER,LHB,,Capped,75
283,BA4,Steve Smith,Australia,35,BATTER,RHB,,Capped,200
284,AL4,Gus Atkinson,England,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,Capped,200
285,AL4,Tom Curran,England,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,200
286,AL4,Krishnappa Gowtham,India,36,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Capped,100
287,AL4,Mohammad Nabi,Afghanistan,40,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Capped,150
288,AL4,Gulbadin Naib,Afghanistan,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,100
289,AL4,Sikandar Raza,Zimbabwe,38,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Capped,125
290,AL4,Mitchell Santner,New Zealand,33,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Capped,200
291,AL4,Jayant Yadav,India,35,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Capped,75
292,WK4,Johnson Charles,West Indies,36,WICKETKEEPER,RHB,RIGHT ARM Off Spin,Capped,75
293,WK4,Litton Das,Bangladesh,30,WICKETKEEPER,RHB,RIGHT ARM Off Spin,Capped,75
294,WK4,Andre Fletcher,West Indies,37,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,Capped,75
295,WK4,Tom Latham,New Zealand,33,WICKETKEEPER,LHB,,Capped,150
296,WK4,Ollie Pope,England,27,WICKETKEEPER,RHB,,Capped,75
297,WK4,Kyle Verreynne,South Africa,27,WICKETKEEPER,RHB,,Capped,75
298,FA4,Fazalhaq Farooqi,Afghanistan,24,BOWLER,RHB,LEFT ARM Fast Medium,Capped,200
299,FA4,Richard Gleeson,England,37,BOWLER,RHB,RIGHT ARM Fast,Capped,75
300,FA4,Matt Henry,New Zealand,33,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,200
301,FA4,Alzarri Joseph,West Indies,28,BOWLER,RHB,RIGHT ARM Fast,Capped,200
302,FA4,Kwena Maphaka,South Africa,18,BOWLER,LHB,LEFT ARM Fast,Capped,75
303,FA4,Kuldeep Sen,India,28,BOWLER,RHB,RIGHT ARM Fast,Capped,75
304,FA4,Reece Topley,England,31,BOWLER,RHB,LEFT ARM Fast,Capped,75
305,FA4,Lizaad Williams,South Africa,31,BOWLER,LHB,RIGHT ARM Fast,Capped,75
306,FA4,Luke Wood,England,29,BOWLER,LHB,LEFT ARM Fast,Capped,75
307,UBA4,Sachin Dhas,India,20,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30
308,UBA4,Leus Du Plooy,England,30,BATTER,LHB,,Uncapped,50
309,UBA4,Ashwin Hebbar,India,29,BATTER,RHB,RIGHT ARM Medium,Uncapped,30
310,UBA4,Rohan Kunnummal,India,26,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30
311,UBA4,Ayush Pandey,India,21,BATTER,LHB,RIGHT ARM Off Spin,Uncapped,30
312,UBA4,Akshat Raghuwanshi,India,21,BATTER,RHB,,Uncapped,30
313,UBA4,Shoun Roger,India,22,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,40
314,UBA4,Virat Singh,India,27,BATTER,LHB,RIGHT ARM Off Spin,Uncapped,30
315,UAL4,Priyansh Arya,India,23,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,Uncapped,30
316,UAL4,Manoj Bhandage,India,26,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,Uncapped,30
317,UAL4,Pravin Dubey,India,31,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Uncapped,30
318,UAL4,Ajay Mandal,India,29,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,Uncapped,30
319,UAL4,Prerak Mankad,India,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,Uncapped,30
320,UAL4,Vipraj Nigam,India,20,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Uncapped,30
321,UAL4,Vicky Ostwal,India,22,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,Uncapped,30
322,UAL4,Shivalik Sharma,India,26,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,Uncapped,30
323,UWK4,Salil Arora,India,22,WICKETKEEPER,RHB,,Uncapped,30
324,UWK4,Dinesh Bana,India,20,WICKETKEEPER,RHB,,Uncapped,30
325,UWK4,Ajitesh Guruswamy,India,22,WICKETKEEPER,RHB,,Uncapped,30
326,UWK4,Narayan Jagadeesan,India,29,WICKETKEEPER,RHB,,Uncapped,30
327,UWK4,Shrijith Krishnan,India,28,WICKETKEEPER,LHB,,Uncapped,30
328,UWK4,Michael Pepper,England,26,WICKETKEEPER,RHB,,Uncapped,50
329,UWK4,Vishnu Solanki,India,32,WICKETKEEPER,RHB,,Uncapped,30
330,UFA4,K.M Asif,India,31,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
331,UFA4,Akhil Chaudhary,India,22,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
332,UFA4,Himanshu Chauhan,India,22,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
333,UFA4,Arpit Guleria,India,27,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
334,UFA4,Nishanth Saranu,India,20,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30
335,UFA4,Kuldip Yadav,India,28,BOWLER,LHB,LEFT ARM Fast,Uncapped,30
336,UFA4,Prithviraj Yarra,India,27,BOWLER,LHB,LEFT ARM Fast,Uncapped,30
337,USP4,Shubham Agrawal,India,31,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,30
338,USP4,Jass Inder Baidwan,India,28,BOWLER,RHB,RIGHT ARM Off Spin,Uncapped,30
339,USP4,Jasmer Dhankhar,India,26,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,30
340,USP4,Pulkit Narang,India,30,BOWLER,RHB,RIGHT ARM Off Spin,Uncapped,30
341,USP4,Saumy Pandey,India,20,BOWLER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
342,USP4,Mohit Rathee,India,26,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,30
343,USP4,Himanshu Singh,India,21,BOWLER,RHB,RIGHT ARM Off Spin,Uncapped,30
344,BA5,Towhid Hridoy,Bangladesh,24,BATTER,RHB,RIGHT ARM Off Spin,Capped,75
345,BA5,Mikyle Louis,West Indies,24,BATTER,RHB,,Capped,75
346,BA5,Harry Tector,Ireland,25,BATTER,RHB,RIGHT ARM Off Spin,Capped,75
347,BA5,Rassie Van Der Dussen,South Africa,36,BATTER,RHB,RIGHT ARM Off Spin,Capped,200
348,BA5,Will Young,New Zealand,32,BATTER,RHB,,Capped,125
349,BA5,Najibullah Zadran,Afghanistan,32,BATTER,LHB,,Capped,75
350,BA5,Ibrahim Zadran,Afghanistan,24,BATTER,RHB,RIGHT ARM Medium,Capped,75
351,AL5,Sean Abbott,Australia,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,200
352,AL5,Jacob  Bethell,England,21,ALL-ROUNDER,LHB     ,  LEFT ARM Slow Orthodox,Capped,125
353,AL5,Brydon Carse,England,29,ALL-ROUNDER,RHB,RIGHT ARM Fast,Capped,100
354,AL5,Aaron Hardie,Australia,26,ALL-ROUNDER,RHB,RIGHT ARM Medium,Capped,125
355,AL5,Sarfaraz Khan,India,27,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Capped,75
356,AL5,Kyle Mayers,West Indies,32,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,Capped,150
357,AL5,Kamindu Mendis,Sri Lanka,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Capped,75
358,AL5,Matthew Short,Australia,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Capped,75
359,FA5,Jason Behrendorff,Australia,34,BOWLER,RHB,LEFT ARM Fast,Capped,150
360,FA5,Dushmantha Chameera,Sri Lanka,33,BOWLER,RHB,RIGHT ARM Fast,Capped,75
361,FA5,Nathan Ellis,Australia,30,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,125
362,FA5,Shamar Joseph,West Indies,25,BOWLER,LHB,RIGHT ARM Fast,Capped,75
363,FA5,Josh Little,Ireland,25,BOWLER,RHB,LEFT ARM Fast Medium,Capped,75
364,FA5,Shivam Mavi,India,26,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,75
365,FA5,Jhye Richardson,Australia,28,BOWLER,RHB,RIGHT ARM Fast,Capped,150
366,FA5,Navdeep Saini,India,32,BOWLER,RHB,RIGHT ARM Fast,Capped,75
367,UBA5,Tanmay Agarwal,India,29,BATTER,RHB,RIGHT ARM Leg Spin,Uncapped,30
368,UBA5,Amandeep Khare,India,27,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30
369,UBA5,Ayush Mhatre,India,17,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30
370,UBA5,Salman Nizar,India,27,BATTER,LHB,,Uncapped,30
371,UBA5,Aniket Verma,India,23,BATTER,RHB,,Uncapped,30
372,UBA5,Sumeet Verma,India,34,BATTER,RHB,RIGHT ARM Leg Spin,Uncapped,30
373,UBA5,Manan Vohra,India,31,BATTER,RHB,,Uncapped,30
374,UBA5,Samarth Vyas,India,29,BATTER,RHB,RIGHT ARM Leg Spin,Uncapped,30
375,UAL5,Raj Angad Bawa,India,22,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,Uncapped,30
376,UAL5,Emanjot Chahal,India,20,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,Uncapped,30
377,UAL5,Musheer Khan,India,20,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,Uncapped,30
378,UAL5,Manvanth Kumar L,India,21,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,Uncapped,30
379,UAL5,Mayank Rawat,India,25,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
380,UAL5,Suryansh Shedge,India,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
381,UAL5,Hritik Shokeen,India,24,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
382,UAL5,Sonu Yadav,India,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
383,UWK5,S. Rithik Easwaran,India,23,WICKETKEEPER,LHB,,Uncapped,30
384,UWK5,Anmol Malhotra,India,29,WICKETKEEPER,RHB,RIGHT ARM Off Spin,Uncapped,30
385,UWK5,Pradosh Paul,India,24,WICKETKEEPER,LHB,RIGHT ARM Off Spin,Uncapped,30
386,UWK5,Karteek Sharma,India,23,WICKETKEEPER,LHB,RIGHT ARM Off Spin,Uncapped,30
387,UWK5,Akash Singh,India,29,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,Uncapped,30
388,UWK5,Tejasvi Singh,India,22,WICKETKEEPER,RHB,RIGHT ARM Off Spin,Uncapped,30
389,UWK5,Siddharth Yadav,India,21,WICKETKEEPER,LHB,RIGHT ARM Medium,Uncapped,30
390,UFA5,Saurabh Dubey,India,27,BOWLER,RHB,LEFT ARM Fast Medium,Uncapped,30
391,UFA5,Aaqib Khan,India,21,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30
392,UFA5,Kulwant Khejroliya,India,33,BOWLER,LHB,LEFT ARM Fast Medium,Uncapped,30
393,UFA5,Ankit Singh Rajpoot,India,31,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30
394,UFA5,Divesh Sharma,India,23,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
395,UFA5,Naman Tiwari,India,19,BOWLER,LHB,LEFT ARM Fast,Uncapped,30
396,UFA5,Prince Yadav,India,23,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
397,USP5,Kunal Singh Chibb,India,28,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,30
398,USP5,Yuvraj Chudasama,India,29,BOWLER,LHB,RIGHT ARM Leg Spin,Uncapped,30
399,USP5,Deepak Devadiga,India,25,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,30
400,USP5,Ramesh Prasad,India,31,BOWLER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
401,USP5,Shivam Shukla,India,29,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,30
402,USP5,Himanshu Singh,India,27,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,30
403,USP5,Tejpreet Singh,India,24,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,30
404,AL6,Qais Ahmad,Afghanistan,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Capped,75
405,AL6,Charith Asalanka,Sri Lanka,27,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,Capped,75
406,AL6,Michael Bracewell,New Zealand,34,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,Capped,150
407,AL6,Gudakesh Motie,West Indies,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Capped,75
408,AL6,Daniel Mousley,England,23,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,Capped,75
409,AL6,Jamie Overton,England,41,ALL-ROUNDER,RHB,RIGHT ARM Fast,Capped,150
410,AL6,Dunith Wellalage,Sri Lanka,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Capped,75
411,FA6,Ottneil Baartman,South Africa,32,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,75
412,FA6,Xavier Bartlett,Australia,26,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,75
413,FA6,Dilshan Madushanka,Sri Lanka,24,BOWLER,RHB,LEFT ARM Fast,Capped,75
414,FA6,Adam Milne,New Zealand,32,BOWLER,RHB,RIGHT ARM Fast,Capped,200
415,FA6,Lungisani Ngidi,South Africa,29,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,100
416,FA6,William O'Rourke,New Zealand,23,BOWLER,RHB,RIGHT ARM Fast,Capped,150
417,FA6,Chetan Sakariya,India,27,BOWLER,LHB,LEFT ARM Medium,Capped,75
418,FA6,Sandeep Warrier,India,34,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,75
419,UBA6,Musaif Ajaz,India,22,BATTER,RHB,LEFT ARM Slow Orthodox,Uncapped,30
420,UBA6,Agni Chopra,India,26,BATTER,LHB,,Uncapped,30
421,UBA6,Abhimanyu Easwaran,India,29,BATTER,RHB,RIGHT ARM Leg Spin,Uncapped,30
422,UBA6,Sudip Gharami,India,26,BATTER,RHB,,Uncapped,30
423,UBA6,Shubham Khajuria,India,29,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30
424,UBA6,Akhil Rawat,India,24,BATTER,RHB,,Uncapped,30
425,UBA6,Prateek Yadav,India,26,BATTER,LHB,RIGHT ARM Off Spin,Uncapped,30
426,UAL6,Abdul Bazith,India,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
427,UAL6,K.C Cariappa,India,30,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Uncapped,30
428,UAL6,Yuvraj Chaudhary,India,23,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
429,UAL6,Aman Khan,India,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
430,UAL6,Sumit Kumar,India,29,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
431,UAL6,Kamlesh Nagarkoti,India,25,ALL-ROUNDER,RHB,RIGHT ARM Fast,Uncapped,30
432,UAL6,Hardik Raj,India,19,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
433,UAL6,Harsh Tyagi,India,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
434,UWK6,M. Ajnas,India,27,WICKETKEEPER,RHB,RIGHT ARM Off Spin,Uncapped,30
435,UWK6,Unmukt Chand,USA,32,WICKETKEEPER,RHB,,Associate,30
436,UWK6,Tejasvi Dahiya,India,22,WICKETKEEPER,RHB,,Uncapped,30
437,UWK6,Sumit Ghadigaonkar,India,32,WICKETKEEPER,RHB,,Uncapped,30
438,UWK6,Baba Indrajith,India,30,WICKETKEEPER,RHB,RIGHT ARM Off Spin,Uncapped,30
439,UWK6,Muhammed Khan,India,24,WICKETKEEPER,RHB,RIGHT ARM Off Spin,Uncapped,30
440,UWK6,Bhagmender Lather,India,27,WICKETKEEPER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
441,UFA6,Baltej Dhanda,India,34,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30
442,UFA6,Ali Khan,USA,34,BOWLER,RHB,RIGHT ARM Fast,Associate,30
443,UFA6,Ravi Kumar,India,21,BOWLER,LHB,LEFT ARM Fast Medium,Uncapped,30
444,UFA6,Vineet Panwar,India,26,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
445,UFA6,Vidyadhar Patil,India,24,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30
446,UFA6,Aradhya Shukla,India,20,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
447,UFA6,Abhinandan Singh,India,28,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30
448,AL7,Cooper Connolly,Australia,21,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Capped,75
449,AL7,Dushan Hemantha,Sri Lanka,30,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Capped,75
450,AL7,Jason Holder,West Indies,33,ALL-ROUNDER,RHB,RIGHT ARM Fast,Capped,200
451,AL7,Karim Janat,Afghanistan,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,75
452,AL7,Jimmy Neesham,New Zealand,34,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,Capped,150
453,AL7,Daniel Sams,Australia,32,ALL-ROUNDER,RHB,LEFT ARM Fast,Capped,150
454,AL7,William Sutherland,Australia,25,ALL-ROUNDER,RHB,RIGHT ARM Fast,Capped,75
455,FA7,Taskin Ahmed,Bangladesh,30,BOWLER,LHB,RIGHT ARM Fast,Capped,100
456,FA7,Ben Dwarshuis,Australia,30,BOWLER,LHB,LEFT ARM Fast,Capped,75
457,FA7,Obed McCoy,West Indies,28,BOWLER,RHB,LEFT ARM Fast,Capped,125
458,FA7,Riley Meredith,Australia,28,BOWLER,RHB,RIGHT ARM Fast,Capped,150
459,FA7,Lance Morris,Australia,27,BOWLER,RHB,RIGHT ARM Fast,Capped,125
460,FA7,Olly Stone,England,31,BOWLER,RHB,RIGHT ARM Fast,Capped,75
461,FA7,Daniel Worrall,England,33,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,150
462,UBA7,Pyla Avinash,India,24,BATTER,RHB,RIGHT ARM Fast Medium,Uncapped,30
463,UBA7,Kiran Chormale,India,19,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30
464,UBA7,Ashish Dahariya,India,20,BATTER,RHB,RIGHT ARM Leg Spin,Uncapped,30
465,UBA7,Tushar Raheja,India,24,BATTER,LHB,,Uncapped,30
466,UBA7,Sarthak Ranjan,India,28,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30
467,UBA7,Abhijeet Tomar,India,30,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30
468,UAL7,Krish Bhagat,India,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
469,UAL7,Sohraab Dhaliwal,India,33,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,Uncapped,30
470,UAL7,Harsh Dubey,India,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
471,UAL7,Ramakrishna Ghosh,India,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,Uncapped,30
472,UAL7,Raj Limbani,India,20,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,Uncapped,30
473,UAL7,Ninad Rathva,India,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
474,UAL7,Vivrant Sharma,India,25,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,Uncapped,30
475,UAL7,Shiva Singh,India,25,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,Uncapped,30
476,UFA7,Sayed Irfan Aftab,India,21,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
477,UFA7,Anirudh Chowdhary,India,25,BOWLER,LHB,RIGHT ARM Fast Medium,Uncapped,30
478,UFA7,Anshuman Hooda,India,24,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
479,UFA7,Siddharth Kaul,India,34,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,40
480,UFA7,Prashant Sai Painkra,India,22,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30
481,UFA7,Venkata Satyanarayana Penmetsa,India,25,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30
482,UFA7,Yeddala Reddy,India,25,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
483,AL8,Zak Foulkes,New Zealand,22,ALL-ROUNDER,RHB,RIGHT ARM Medium,Capped,75
484,AL8,Chris Green,Australia,31,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Capped,100
485,AL8,Shakib Al Hasan,Bangladesh,38,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Capped,100
486,AL8,Mehidy Hasan Miraz,Bangladesh,27,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Capped,100
487,AL8,Wiaan Mulder,South Africa,27,ALL-ROUNDER,RHB,RIGHT ARM Medium,Capped,75
488,AL8,Dwaine Pretorius,South Africa,36,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,75
489,AL8,Dasun Shanaka,Sri Lanka,33,ALL-ROUNDER,RHB,RIGHT ARM Fast,Capped,75
490,FA8,Shoriful Islam,Bangladesh,23,BOWLER,LHB,LEFT ARM Fast Medium,Capped,75
491,FA8,Blessing Muzarabani,Zimbabwe,28,BOWLER,RHB,RIGHT ARM Fast,Capped,75
492,FA8,Matthew Potts,England,26,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,150
493,FA8,Tanzim Hasan Sakib,Bangladesh,22,BOWLER,RHB,RIGHT ARM Fast,Capped,75
494,FA8,Benjamin Sears,New Zealand,27,BOWLER,RHB,RIGHT ARM Fast,Capped,100
495,FA8,Tim Southee,New Zealand,36,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,150
496,FA8,John Turner,England,23,BOWLER,RHB,RIGHT ARM Fast,Capped,150
497,UBA8,Joshua Brown,Australia,31,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30
498,UBA8,Oliver Davies,Australia,24,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30
499,UBA8,Bevan John Jacobs,New Zealand,22,BATTER,RHB,RIGHT ARM Fast Medium,Uncapped,30
500,UBA8,Atharva Kale,India,25,BATTER,RHB,RIGHT ARM Leg Spin,Uncapped,30
501,UBA8,Abhishek Nair,India,20,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30
502,UBA8,Vishwanath Pratap Singh,India,26,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30
503,UAL8,Nasir Lone,India,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
504,UAL8,Brandon McMullen,Scotland,25,ALL-ROUNDER,RHB,RIGHT ARM Medium,Associate,30
505,UAL8,S. Midhun,India,30,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Uncapped,30
506,UAL8,Abid Mushtaq,India,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
507,UAL8,Mahesh Pithiya,India,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
508,UAL8,Maramreddy Reddy,India,22,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Uncapped,30
509,UAL8,Atit Sheth,India,29,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
510,UAL8,Jonty Sidhu,India,27,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,Uncapped,30
511,UFA8,Mohit Avasthi,India,32,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30
512,UFA8,Faridoon Dawoodzai,Afghanistan,19,BOWLER,LHB,LEFT ARM Fast Medium,Uncapped,30
513,UFA8,Praful Hinge,India,23,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
514,UFA8,Pankaj Jaswal,India,29,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
515,UFA8,Vijay Kumar,India,19,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
516,UFA8,Ashok Sharma,India,22,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
517,UFA8,Mujtaba Yousuf,India,22,BOWLER,LHB,LEFT ARM Fast Medium,Uncapped,30
518,AL9,Ashton Agar,Australia,31,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Capped,125
519,AL9,Roston Chase,West Indies,33,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Capped,75
520,AL9,Junior Dala,South Africa,35,ALL-ROUNDER,RHB,RIGHT ARM Fast,Capped,75
521,AL9,Mahedi Hasan,Bangladesh,30,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Capped,75
522,AL9,Nangeyalia Kharote,Afghanistan,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Capped,75
523,AL9,Dan Lawrence,England,27,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Capped,100
524,AL9,Nathan Smith,New Zealand,26,ALL-ROUNDER,RHB,RIGHT ARM Fast,Capped,100
525,FA9,James Anderson,England,42,BOWLER,LHB,RIGHT ARM Fast,Capped,125
526,FA9,Kyle Jamieson,New Zealand,30,BOWLER,RHB,RIGHT ARM Fast,Capped,150
527,FA9,Chris Jordan,England,36,BOWLER,RHB,RIGHT ARM Fast,Capped,200
528,FA9,Hasan Mahmud,Bangladesh,28,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,75
529,FA9,Tymal Mills,England,32,BOWLER,RHB,LEFT ARM Fast,Capped,200
530,FA9,David Payne,England,34,BOWLER,RHB,LEFT ARM Fast Medium,Capped,100
531,FA9,Nahid Rana,Bangladesh,22,BOWLER,RHB,RIGHT ARM Fast,Capped,75
532,UBA9,Prayas Ray Barman,India,22,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30
533,UBA9,Jafar Jamal,India,35,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30
534,UBA9,Ayaz Khan,India,22,BATTER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
535,UBA9,Kaushik Maity,India,25,BATTER,RHB,LEFT ARM Slow Orthodox,Uncapped,30
536,UBA9,Rituraj Sharma,India,22,BATTER,LHB,RIGHT ARM Off Spin,Uncapped,30
537,UBA9,Vaibhav Suryavanshi,India,14,BATTER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
